~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ MODEL  13500 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

# Ltot =  4.612168e36erg (lg L/Lsun = 3.078896), lg Teff = 3.578235, M*/Msun = 2.042628
#   J     Mr[-1]  lg P  lg T     lg R L/L(*)    X    Y   XC   XO  e(H) e(He) e C  e(g) e(Nu) lgRho   My Beta lgCap   Rad  Grad   Nad r../g  
    1 0.00000000 3.314 3.578 12.74907 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.1m3 0.000-8.060 1.33 1.00-2.072 .3804 .3804 .3996 3.m13 R
   26-4.895677m7 3.323 3.582 12.74903 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.3m3 0.000-8.054 1.33 1.00-2.038 .4065 .4070 .3996 3.m13 +
   27-5.075886m7 3.324 3.582 12.74903 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.3m3 0.000-8.054 1.33 1.00-2.037 .4075 .4080 .3996 3.m13 +
   28-5.266107m7 3.324 3.582 12.74902 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.3m3 0.000-8.054 1.33 1.00-2.036 .4085 .4090 .3996 3.m13 +
   29-5.436304m7 3.324 3.582 12.74902 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.3m3 0.000-8.054 1.33 1.00-2.034 .4095 .4099 .3996 3.m13 +
   30-5.596490m7 3.325 3.582 12.74902 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.3m3 0.000-8.054 1.33 1.00-2.033 .4103 .4108 .3996 3.m13 +
  
   31-5.756676m7 3.325 3.582 12.74902 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.3m3 0.000-8.053 1.33 1.00-2.032 .4112 .4119 .3996 3.m13 +
   32-5.996954m7 3.325 3.583 12.74902 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.3m3 0.000-8.053 1.33 1.00-2.030 .4126 .4130 .3996 3.m13 +
   33-6.157140m7 3.326 3.583 12.74902 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.3m3 0.000-8.053 1.33 1.00-2.029 .4135 .4139 .3996 3.m13 +
   34-6.317326m7 3.326 3.583 12.74902 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.3m3 0.000-8.053 1.33 1.00-2.028 .4144 .4150 .3996 3.m13 +
   35-6.557604m7 3.326 3.583 12.74901 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.3m3 0.000-8.053 1.33 1.00-2.026 .4157 .4161 .3996 3.m13 +
  
   36-6.677744m7 3.327 3.583 12.74901 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.3m3 0.000-8.052 1.33 1.00-2.026 .4164 .4171 .3996 3.m13 +
