# VERSION 10104 -- Thu Aug 27 17:55:20 2009 UTC -- created by woosley on banzai.ucolick.org from file /data/woosley/banzai/u/woosley/cdef/fudgc#t8eq625
  grid    cell outer total mass        cell outer radius      cell outer velocity             cell density         cell temperature            cell pressure     cell specific energy    cell specific entropy    cell angular velocity               cell A_bar                 cell Y_e       stability   NETWORK                 neutrons                       H1                      He3                      He4                      C12                      N14                      O16                     Ne20                     Mg24                     Si28                      S32                     Ar36                     Ca40                     Ti44                     Cr48                     Fe52                     Fe54                     Ni56                     Fe56                     'Fe'
   1:    9.9999999999607598E+28   2.0831459844146401E+06   2.2991004949187746E+00   2.6409019248480692E+09   6.2496973682955909E+08   1.7729710406238415E+27   1.7943224964775365E+18   8.7243801861083381E-01   0.0000000000000000E+00   1.3738108630910947E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   5.0951726619646424E-12   4.9695993464355021E-01   0.0000000000000000E+00   4.9800451975916810E-01   5.0158692573828191E-03   1.9673522275774586E-05   2.8125205512099273E-09   7.6846102673089186E-16   1.2341663759085211E-23   3.8945140394400762E-33   2.1678942834048940E-44   1.2675421733394288E-57   4.1842792207069614E-72   0.0000000000000000E+00   6.8822849405278371E-90                      ---                      ---
   2:    2.4523015847725093E+29   2.8099754690829176E+06   3.1012413413365452E+00   2.6370595885716796E+09   6.2442569729721022E+08   1.7695149825654912E+27   1.7933452362916063E+18   8.7246227544185073E-01   0.0000000000000000E+00   1.3738108008423149E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   5.0922591887180706E-12   4.9696001384214056E-01   0.0000000000000000E+00   4.9800457200591092E-01   5.0157384314472066E-03   1.9672903137683499E-05   2.8122640125595853E-09   7.6836090615644264E-16   1.2339222210166360E-23   3.8934298170030087E-33   2.1670112518819848E-44   1.2667765433896677E-57   4.1809196684061470E-72   0.0000000000000000E+00   6.8755093579215613E-90                      ---                      ---
   3:    4.4308952902951118E+29   3.4235596900334051E+06   3.7783763248483271E+00   2.6330758682181296E+09   6.2386108185022426E+08   1.7659335465012540E+27   1.7923310208541509E+18   8.7248744845032267E-01   0.0000000000000000E+00   1.3738107233545646E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   5.0886066425671325E-12   4.9696011242928001E-01   0.0000000000000000E+00   4.9800463704223519E-01   5.0155755797420543E-03   1.9672131700999492E-05   2.8119456538454690E-09   7.6823672782615803E-16   1.2336199021157816E-23   3.8920897581864098E-33   2.1659230451067171E-44   1.2658368694517938E-57   4.1768129946937264E-72   0.0000000000000000E+00   6.8672563719706502E-90                      ---                      ---
   4:    6.9611778106595762E+29   3.9812761894107144E+06   4.3938312914318329E+00   2.6287805416016064E+09   6.2325174344542372E+08   1.7620740188396826E+27   1.7912363357714542E+18   8.7251462648218581E-01   0.0000000000000000E+00   1.3738106293465377E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   5.0841410731939089E-12   4.9696023203523665E-01   0.0000000000000000E+00   4.9800471594313511E-01   5.0153780101408491E-03   1.9671194834895950E-05   2.8115607098958859E-09   7.6808666654338726E-16   1.2332552258392939E-23   3.8904764721398215E-33   2.1646170719972039E-44   1.2647140796874316E-57   4.1719269518822841E-72   0.0000000000000000E+00   6.8574736772166765E-90                      ---                      ---
   5:    9.9999999999953474E+29   4.4938259837549161E+06   4.9594182189219751E+00   2.6242204473153596E+09   6.2260425662937510E+08   1.7579789155647876E+27   1.7900728795385912E+18   8.7254352623100051E-01   0.0000000000000000E+00   1.3738105203961679E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   5.0789225471406816E-12   4.9696037065249410E-01   0.0000000000000000E+00   4.9800480738379616E-01   5.0151490396499890E-03   1.9670107857085167E-05   2.8111161788862878E-09   7.6791348496219724E-16   1.2328351712731255E-23   3.8886220873799196E-33   2.1631209329493808E-44   1.2634337449684304E-57   4.1663801681257169E-72   0.0000000000000000E+00   6.8464108337205827E-90                      ---                      ---
   6:    1.3428633252745263E+30   4.9596415520723276E+06   5.4734096854036558E+00   2.6195309990321012E+09   6.2193777500890696E+08   1.7537701531026699E+27   1.7888750179700093E+18   8.7257329578423548E-01   0.0000000000000000E+00   1.3738104014617237E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   5.0731761042771851E-12   4.9696052197272722E-01   0.0000000000000000E+00   4.9800490720243051E-01   5.0148990892294560E-03   1.9668919899274158E-05   2.8106327253400799E-09   7.6772525959259369E-16   1.2323795372918577E-23   3.8866149759229512E-33   2.1615071384021480E-44   1.2620592759287251E-57   4.1604524831554852E-72   0.0000000000000000E+00   6.8346338569315455E-90                      ---                      ---
   7:    1.7264416518296091E+30   5.3949069858569233E+06   5.9536665848060748E+00   2.6147606573500462E+09   6.2125917806081617E+08   1.7494913986408206E+27   1.7876550472424622E+18   8.7260363547834396E-01   0.0000000000000000E+00   1.3738102743653322E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   5.0669813714330767E-12   4.9696068367768920E-01   0.0000000000000000E+00   4.9800501386952517E-01   5.0146319886535517E-03   1.9667648939619201E-05   2.8101180330824736E-09   7.6752499627242375E-16   1.2318957272168640E-23   3.8844883136123004E-33   2.1598030482580490E-44   1.2606146953711893E-57   4.1542498658354471E-72   0.0000000000000000E+00   6.8223563027563727E-90                      ---                      ---
   8:    2.1519480749731376E+30   5.8082034809508231E+06   6.4096590706255112E+00   2.6098786448427224E+09   6.2056407197471702E+08   1.7451152098515370E+27   1.7864049949914621E+18   8.7263474758255544E-01   0.0000000000000000E+00   1.3738101387657567E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   5.0603131660666744E-12   4.9696085620158176E-01   0.0000000000000000E+00   4.9800512767121713E-01   5.0143470212204357E-03   1.9666291341993131E-05   2.8095709948366631E-09   7.6731227721550089E-16   1.2313828553315991E-23   3.8822387454350473E-33   2.1580066226928603E-44   1.2590989396244887E-57   4.1477698158682653E-72   0.0000000000000000E+00   6.8095756578387361E-90                      ---                      ---
   9:    2.6199836119821814E+30   6.2043999919881672E+06   6.8467604763126433E+00   2.6048731602821755E+09   6.1985074737197852E+08   1.7406312117236775E+27   1.7851217233626289E+18   8.7266671423919584E-01   0.0000000000000000E+00   1.3738099946766615E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   5.0531629097534666E-12   4.9696103952706916E-01   0.0000000000000000E+00   4.9800524859576983E-01   5.0140442161060294E-03   1.9664847002506283E-05   2.8089919570197571E-09   7.6708725011564426E-16   1.2308414071813132E-23   3.8798689581540989E-33   2.1561206750572261E-44   1.2575150581496363E-57   4.1410274015471158E-72   0.0000000000000000E+00   6.7963239397714427E-90                      ---                      ---
  10:    3.1304576633028770E+30   6.5863214199832808E+06   7.2680884523345259E+00   2.5997443508872347E+09   6.1911919034092629E+08   1.7360397551590964E+27   1.7838051448007964E+18   8.7269954156656138E-01   0.0000000000000000E+00   1.3738098423826699E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   5.0455351961846973E-12   4.9696123329207226E-01   0.0000000000000000E+00   4.9800537640404224E-01   5.0137241719219895E-03   1.9663318528268829E-05   2.8083823557668812E-09   7.6685048497444055E-16   1.2302728817303539E-23   3.8773860509709731E-33   2.1541514948527139E-44   1.2558689643562561E-57   4.1340495787305189E-72   0.0000000000000000E+00   6.7826559532129029E-90                      ---                      ---
